year,artist,track,time,genre,date.entered
2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23
2000,Santana,Maria Maria,4:18,Rock,2000-02-12
2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23
2000,Madonna,Music,3:45,Rock,2000-08-12
2000,Christina Aguilera,Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05
2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17
2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25
2000,Enrique Iglesias,Be With You,3:36,Latin,2000-04-01
2000,Sisqo,Incomplete,3:52,Rock,2000-06-24
2000,Lonestar,Amazed,4:25,Country,1999-06-05
2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06
2000,Christina Aguilera,What A Girl Wants,3:18,Rock,1999-11-27
2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22
2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13
2000,Aaliyah,Try Again,4:03,Rock,2000-03-18
2000,matchbox twenty,Bent,4:12,Rock,2000-04-29
2000,Mariah Carey,Thank God I Found You,4:14,Rock,1999-12-11
2000,Faith Hill,Breathe,4:04,Rap,1999-11-06